code,name,行业,总市值_亿元,流通市值_亿元,样本标识,更新时间
002051,中工国际,工程建设,10183875552.0,10183289411.0,扩展500只,2025-09-26 11:54:53
600501,航天晨光,专用设备,10122320572.0,10119434052.0,扩展500只,2025-09-26 11:54:53
300872,天阳科技,互联网服务,11275597017.0,9749163108.0,扩展500只,2025-09-26 11:54:53
300303,聚飞光电,光学光电子,10390544568.0,9747505217.0,扩展500只,2025-09-26 11:54:53
002332,仙琚制药,化学制药,9753559979.0,9707896790.0,扩展500只,2025-09-26 11:54:53
600783,鲁信创投,非金属材料,9498024591.0,9498024591.0,扩展500只,2025-09-26 11:54:53
600759,洲际油气,石油行业,9501231251.0,9489040436.0,扩展500只,2025-09-26 11:54:53
000552,甘肃能化,煤炭行业,13540073231.0,9426213133.0,扩展500只,2025-09-26 11:54:53
002192,融捷股份,能源金属,9347587308.0,9328328208.0,扩展500只,2025-09-26 11:54:53
300841,康华生物,生物制品,10146253874.0,9285997792.0,扩展500只,2025-09-26 11:54:53
002042,华孚时尚,纺织服装,9234699758.0,9234699758.0,扩展500只,2025-09-26 11:54:53
688232,新点软件,软件开发,9174000000.0,9174000000.0,扩展500只,2025-09-26 11:54:53
300482,万孚生物,医疗器械,9970205409.0,9165632458.0,扩展500只,2025-09-26 11:54:53
300925,法本信息,软件开发,11240748538.0,9165099083.0,扩展500只,2025-09-26 11:54:53
600184,光电股份,专用设备,10378376205.0,9061030311.0,扩展500只,2025-09-26 11:54:53
688202,美迪西,医疗服务,9024436199.0,9024436199.0,扩展500只,2025-09-26 11:54:53
600664,哈药股份,化学制药,8991080257.0,8991080257.0,扩展500只,2025-09-26 11:54:53
300145,南方泵业,通用设备,8932186097.0,8853568850.0,扩展500只,2025-09-26 11:54:53
600375,汉马科技,汽车整车,13000908786.0,8821131514.0,扩展500只,2025-09-26 11:54:53
300855,图南股份,有色金属,11549519800.0,8554319230.0,扩展500只,2025-09-26 11:54:53
300596,利安隆,塑料制品,8635995676.0,8388714590.0,扩展500只,2025-09-26 11:54:53
300222,科大智能,电网设备,10265529476.0,8359868284.0,扩展500只,2025-09-26 11:54:53
300725,药石科技,化学制药,9611819789.0,8333568511.0,扩展500只,2025-09-26 11:54:53
300171,东富龙,医疗器械,11043240337.0,8113519059.0,扩展500只,2025-09-26 11:54:53
000756,新华制药,化学制药,10981242437.0,7842572870.0,扩展500只,2025-09-26 11:54:53
001339,智微智能,计算机设备,15501967810.0,7332634968.0,扩展500只,2025-09-26 11:54:53
300119,瑞普生物,农药兽药,9736611091.0,7017454340.0,扩展500只,2025-09-26 11:54:53
688392,骄成超声,专用设备,11411309296.0,6976159131.0,扩展500只,2025-09-26 11:54:53
688432,有研硅,半导体,16955170178.0,6897817292.0,扩展500只,2025-09-26 11:54:53
300403,汉宇集团,家电行业,9545490000.0,6760416677.0,扩展500只,2025-09-26 11:54:53
301267,华厦眼科,医疗服务,16741200000.0,6553559479.0,扩展500只,2025-09-26 11:54:53
300990,同飞股份,通用设备,13994135590.0,6407729379.0,扩展500只,2025-09-26 11:54:53
688332,中科蓝讯,半导体,17137004220.0,6297069277.0,扩展500只,2025-09-26 11:54:53
002060,广东建工,工程建设,14454413982.0,6016836441.0,扩展500只,2025-09-26 11:54:53
688252,天德钰,半导体,11779814621.0,5251377168.0,扩展500只,2025-09-26 11:54:53
688498,,半导体,31671737031.0,22165006364.0,扩展500只,2025-09-26 11:54:53
301487,,电池,12372874511.0,7343614588.0,扩展500只,2025-09-26 11:54:53
688343,,软件开发,29692906115.0,21831950705.0,扩展500只,2025-09-26 11:54:53
301486,,消费电子,11709970545.0,6593291705.0,扩展500只,2025-09-26 11:54:53
688631,,软件开发,15325312500.0,6081562500.0,扩展500只,2025-09-26 11:54:53
688484,,半导体,21012695687.0,14473114365.0,扩展500只,2025-09-26 11:54:53
688563,,航天航空,24457500000.0,6358351770.0,扩展500只,2025-09-26 11:54:53
002827,,化学制品,10619173180.0,10579080000.0,扩展500只,2025-09-26 11:54:53
600635,,燃气,15323135963.0,12553528793.0,扩展500只,2025-09-26 11:54:53
688612,,汽车零部件,16728836823.0,10106743365.0,扩展500只,2025-09-26 11:54:53
001212,,装修装饰,11299874327.0,9675495912.0,扩展500只,2025-09-26 11:54:53
600269,,铁路公路,11326724018.0,11326724018.0,扩展500只,2025-09-26 11:54:53
688001,,专用设备,14149654072.0,14149654072.0,扩展500只,2025-09-26 11:54:53
600475,,电源设备,14855707429.0,14652444229.0,扩展500只,2025-09-26 11:54:53
600874,,环保行业,9249762521.0,7247162521.0,扩展500只,2025-09-26 11:54:53
688603,,电子化学品,9279504586.0,3528167561.0,扩展500只,2025-09-26 11:54:53
600007,,房地产开发,20619073471.0,20619073471.0,扩展500只,2025-09-26 11:54:53
